Session,Test_Phase,Sample,Sample_Id,Label,Label_Id,Response,Response_Id
0,i,tustkaki,static/audios/google_synth/tustkaki_2.wav,2002,static/images/2002_5.jpg,2002,static/images/2002_5.jpg
0,i,ratchipis,static/audios/microsoft_synth/ratchipis_1.wav,2023,static/images/2023_8.jpg,2024,static/images/2024_1.jpg
0,i,agenkrat,static/audios/ibm_synth/agenkrat_3.wav,2055,static/images/2055_9.jpg,2004,static/images/2004_0.jpg
0,i,zosipeb,static/audios/microsoft_synth/zosipeb_0.wav,2030,static/images/2030_8.jpg,2048,static/images/2048_7.jpg
0,i,sarnipis,static/audios/google_synth/sarnipis_1.wav,2024,static/images/2024_5.jpg,2051,static/images/2051_5.jpg
0,i,possosip,static/audios/google_synth/possosip_1.wav,2051,static/images/2051_1.jpg,2004,static/images/2004_5.jpg
0,i,lopizerrt,static/audios/ibm_synth/lopizerrt_2.wav,2004,static/images/2004_8.jpg,2048,static/images/2048_0.jpg
0,i,noshillop,static/audios/google_synth/noshillop_1.wav,2025,static/images/2025_6.jpg,2055,static/images/2055_6.jpg
0,i,ciopjuff,static/audios/google_synth/ciopjuff_5.wav,2048,static/images/2048_9.jpg,2025,static/images/2025_0.jpg
0,i,quanmanu,static/audios/microsoft_synth/quanmanu_0.wav,2011,static/images/2011_1.jpg,2011,static/images/2011_1.jpg
0,a,2030,static/images/2030_4.jpg,zosipeb,static/audios/google_synth/zosipeb_3.wav,ratchipis,static/audios/google_synth/ratchipis_2.wav
0,a,2025,static/images/2025_5.jpg,noshillop,static/audios/google_synth/noshillop_5.wav,ciopjuff,static/audios/google_synth/ciopjuff_4.wav
0,a,2002,static/images/2002_7.jpg,tustkaki,static/audios/microsoft_synth/tustkaki_1.wav,tustkaki,static/audios/microsoft_synth/tustkaki_1.wav
0,a,2048,static/images/2048_2.jpg,ciopjuff,static/audios/google_synth/ciopjuff_0.wav,quanmanu,static/audios/ibm_synth/quanmanu_2.wav
0,a,2051,static/images/2051_6.jpg,possosip,static/audios/google_synth/possosip_5.wav,ciopjuff,static/audios/microsoft_synth/ciopjuff_1.wav
0,a,2011,static/images/2011_6.jpg,quanmanu,static/audios/ibm_synth/quanmanu_3.wav,ciopjuff,static/audios/ibm_synth/ciopjuff_3.wav
0,a,2004,static/images/2004_3.jpg,lopizerrt,static/audios/ibm_synth/lopizerrt_3.wav,ciopjuff,static/audios/microsoft_synth/ciopjuff_0.wav
0,a,2024,static/images/2024_0.jpg,sarnipis,static/audios/google_synth/sarnipis_5.wav,ratchipis,static/audios/google_synth/ratchipis_4.wav
0,a,2055,static/images/2055_8.jpg,agenkrat,static/audios/google_synth/agenkrat_3.wav,sarnipis,static/audios/ibm_synth/sarnipis_3.wav
0,a,2023,static/images/2023_3.jpg,ratchipis,static/audios/ibm_synth/ratchipis_2.wav,ciopjuff,static/audios/google_synth/ciopjuff_1.wav
1,i,negahux,static/audios/google_synth/negahux_4.wav,2063,static/images/2063_4.jpg,2063,static/images/2063_4.jpg
1,i,leheacham,static/audios/google_synth/leheacham_5.wav,2035,static/images/2035_2.jpg,2035,static/images/2035_2.jpg
1,i,wilpakar,static/audios/ibm_synth/wilpakar_3.wav,2057,static/images/2057_1.jpg,2057,static/images/2057_1.jpg
1,i,pentzebants,static/audios/google_synth/pentzebants_4.wav,2034,static/images/2034_0.jpg,2034,static/images/2034_0.jpg
1,i,janggasser,static/audios/microsoft_synth/janggasser_0.wav,2007,static/images/2007_9.jpg,2050,static/images/2050_3.jpg
1,i,roglarkak,static/audios/google_synth/roglarkak_2.wav,2009,static/images/2009_7.jpg,2009,static/images/2009_7.jpg
1,i,ipisdoff,static/audios/google_synth/ipisdoff_0.wav,2058,static/images/2058_6.jpg,2058,static/images/2058_6.jpg
1,i,aneddite,static/audios/google_synth/aneddite_1.wav,2046,static/images/2046_7.jpg,2007,static/images/2007_2.jpg
1,i,wisorel,static/audios/ibm_synth/wisorel_0.wav,2032,static/images/2032_8.jpg,2046,static/images/2046_1.jpg
1,i,judpegree,static/audios/google_synth/judpegree_2.wav,2050,static/images/2050_4.jpg,2050,static/images/2050_4.jpg
1,a,2050,static/images/2050_5.jpg,judpegree,static/audios/microsoft_synth/judpegree_1.wav,judpegree,static/audios/microsoft_synth/judpegree_1.wav
1,a,2032,static/images/2032_0.jpg,wisorel,static/audios/google_synth/wisorel_3.wav,wisorel,static/audios/google_synth/wisorel_3.wav
1,a,2058,static/images/2058_7.jpg,ipisdoff,static/audios/ibm_synth/ipisdoff_1.wav,ipisdoff,static/audios/ibm_synth/ipisdoff_1.wav
1,a,2009,static/images/2009_3.jpg,roglarkak,static/audios/ibm_synth/roglarkak_0.wav,roglarkak,static/audios/ibm_synth/roglarkak_0.wav
1,a,2063,static/images/2063_1.jpg,negahux,static/audios/google_synth/negahux_3.wav,negahux,static/audios/google_synth/negahux_3.wav
1,a,2034,static/images/2034_9.jpg,pentzebants,static/audios/ibm_synth/pentzebants_0.wav,pentzebants,static/audios/ibm_synth/pentzebants_0.wav
1,a,2046,static/images/2046_3.jpg,aneddite,static/audios/ibm_synth/aneddite_3.wav,aneddite,static/audios/ibm_synth/aneddite_3.wav
1,a,2007,static/images/2007_6.jpg,janggasser,static/audios/ibm_synth/janggasser_0.wav,wisorel,static/audios/google_synth/wisorel_4.wav
1,a,2035,static/images/2035_8.jpg,leheacham,static/audios/google_synth/leheacham_1.wav,leheacham,static/audios/google_synth/leheacham_1.wav
1,a,2057,static/images/2057_8.jpg,wilpakar,static/audios/google_synth/wilpakar_0.wav,wilpakar,static/audios/google_synth/wilpakar_0.wav
